"Sticky label","No. / Side","Technique / Pattern","Color / Dim.","Sentence number","Transcription"
"Choong Moo","30 L","Parallel ready","Red","1","Was the given name to the great Admiral Yi Soon-Sin of the Yi Dynasty."
"Choong Moo","30 L","Parallel ready","Red","2","He was reputed to have invented the first armored battleship, Kobukson, in 1592, which is said to be the precursor of the present day submarine."
"Choong Moo","30 L","Parallel ready","Red","3","The reason this pattern ends with a left hand attack is to symbolize his regrettable death, having no chance to show his unrestrained potentiality checked by the forced reservation of his loyalty to the King."
"Hwa-Rang","29 L","Closed “C”","Red","1","Is named after the Hwa-Rang youth group which originated in the Silla Dynasty in the early 7th century."
"Hwa-Rang","29 L","Closed “C”","Red","2","The 29 movements refer to the 29th Infantry Division where Taekwondo developed into maturity."
"Hyun-Sil","50 L","Parallel Ready","Red / Black","1","Means actualization."
"Hyun-Sil","50 L","Parallel Ready","Red / Black","2","Actualization is taking the first step and entering into the process of the work and reward system."
"Hyun-Sil","50 L","Parallel Ready","Red / Black","3","The development of a strong work ethic is the most important element in this philosophy."
"Hyun-Sil","50 L","Parallel Ready","Red / Black","4","Even the most average of people can achieve excellence with a positive work habit."
"Kwang Gae","39 L","Heaven Hands","1R","1","Is named after the famous Gwang-Gae-Toh-Wang, the 19th King of the Koguryo Dynasty, who regained all the lost territories including the greater part of Manchuria."
"Kwang Gae","39 L","Heaven Hands","1R","2","The diagram represents expansion and recovery of lost territory."
"Kwang Gae","39 L","Heaven Hands","1R","3","The 39 movements refer to the first two figures of 391 A.D., the year he came to the throne."
"Sil-Hun","60 R","Parallel Ready","Black","1","Means realization."
"Sil-Hun","60 R","Parallel Ready","Black","2","Realization refers to the attainment of one’s goals."
"Sil-Hun","60 R","Parallel Ready","Black","3","Upon reaching these achievements, new privileges are merited as a new goals are recognized."
"Sil-Hun","60 R","Parallel Ready","Black","4","This process perpetuates itself as the previous results offer new challenges and new responsibilities."
"Sil-Hun","60 R","Parallel Ready","Black","5","This positive growth cycle not only improves oneself, but also the immediate world around you."
"Sil-Hun","60 R","Parallel Ready","Black","6","This concept of “constant and ever going improvement” is the ultimate purpose of Choong-Sil Kwon."
"Ge Back","44 R","Parallel ready","1D","1","Is named after Ge-Back, a great general in the Baek Je Dynasty, 660 A.D. The diagram represents his severe and strict military discipline."
"Po Eun","36 L","Heaven Held Hands","1D","1","Is the pseudonym of a loyal subject Chong Mong-Chu, 1400, who was a famous poet and whose poem “I would not serve a second master though I may be crucified a hundred times” is known to every Korean."
"Po Eun","36 L","Heaven Held Hands","1D","2","He was also a pioneer in the field of physics."
"Po Eun","36 L","Heaven Held Hands","1D","3","The diagram represents his unerring loyalty to the King and country towards the end of the Koryo Dynasty."
"Choi-Yong","46 R","Closed “C”","3D","1","Is named after General Choi Yong, Premier and Commander-in-Chief of the armed forces during 14th-century Koryo Dynasty."
"Choi-Yong","46 R","Closed “C”","3D","2","Choi Yong was greatly respected for his loyalty, patriotism and humility."
"Choi-Yong","46 R","Closed “C”","3D","3","He was executed by his subordinate commanders headed by General Yi Sung Gae, who later became the first King of the Yi Dynasty."
"Sam Il","33 L","Closed “C”","3D","1","Denotes the historical date of the independence movement of Korea which began throughout the country on March 1st 1919."
"Sam Il","33 L","Closed “C”","3D","2","The 33 movements in the pattern stand for the 33 patriots who planned this movement."
"Yoo-Sin","68 R","Right sword, stacked hands","3D","1","Is named after General Kim Yoo Sin, a commanding general during the Silla Dynasty."
"Yoo-Sin","68 R","Right sword, stacked hands","3D","2","The 68 movements refer to the last two figures of 668 A.D., the year Korea was united."
"Yoo-Sin","68 R","Right sword, stacked hands","3D","3","The ready posture signifies a sword drawn on the right rather than left side, symbolizing Yoo Sin’s mistake of following his King’s orders to fight with foreign forces against his own nation."
"Yon-Gae","49 R","Left side sword","4D","1","Is named after a famous general during the Koguryo Dynasty, Yon Gae Somoon."
"Yon-Gae","49 R","Left side sword","4D","2","The 49 movements refer to the last two figures of 649 A.D., the year he forced the Tang Dynasty to quit Korea after destroying nearly 300,000 of their troops at Ansi Sung."
"Ul-Ji","42 L","“X” Hands","4D","1","Is named after General Ul-Ji Moon Dok who successfully defended Korea against a Tang’s invasion force of nearly one million soldiers led by Yang Je in 612 A.D. Ul-Ji, employing hit and run guerrilla tactics, was able to decimate a large percentage of the force."
"Ul-Ji","42 L","“X” Hands","4D","2","The diagram represents his surname."
"Ul-Ji","42 L","“X” Hands","4D","3","The 42 movements represent the author’s age when he designed the pattern."
"Moon Moo","61 R","Parallel ready","4D","1","Honors the 30th King of the Silla Dynasty."
"Moon Moo","61 R","Parallel ready","4D","2","His body was buried near Dae Wang Am, Great King’s Rock."
"Moon Moo","61 R","Parallel ready","4D","3","According to his will, the body was placed in the sea: “Where my soul shall forever defend my land against the Japanese.” It is said that the Sok Gul Am, Stone Cave, was built to guard his tomb."
"Moon Moo","61 R","Parallel ready","4D","4","The Sok Gul Am is a fine example of the culture of the Silla Dynasty."
"Moon Moo","61 R","Parallel ready","4D","5","The 61 movements in this pattern symbolize the last two figures of 661 A.D., when Moon Moo came to the throne."
"Eui Am","45 R","Twin low block","2R","1","Is the pseudonym of Son Byong Hi, leader of the Korean independence movement on Mar 1st 1919."
"Eui Am","45 R","Twin low block","2R","2","The 45 movements refer to his age when he changed the name Dong Hak, Oriental Culture, to Chondo Kyo, Heavenly Way Religion, in 1905."
"Eui Am","45 R","Twin low block","2R","3","The diagram represents his indomitable spirit, displayed while dedicating himself to the prosperity of his nation."
"Kodang","39 L","Closed “C”","2D","1","Kodang is the pseudonym of the Korean patriot and educator Cho Man Sik, a member of the independence movement."
"Kodang","39 L","Closed “C”","2D","2","The 39 movements indicate his times of imprisonment and his birthplace on the 39th parallel."
"Juche","45 R","Twin side elbow","2D","1","Is a philosophical idea that man is the master of everything and decides everything, in other words, the idea that man is the master of the world and his own destiny."
"Juche","45 R","Twin side elbow","2D","2","It is said that this idea was rooted in Baekdu Mountain which symbolizes the spirit of the Korean people."
"Juche","45 R","Twin side elbow","2D","3","The diagram represents Baekdu Mountain."
"Choong-Jang","52 L","Closed “A”","2D","1","Is the pseudonym given to General Kim Duk Ryang, who lived during the Yi Dynasty, 14th century."
"Choong-Jang","52 L","Closed “A”","2D","2","This pattern ends with a left hand attack to symbolize the tragedy of his death at 27 in prison before he was able to reach full maturity."
"Chon-Ji","19 L","Parallel Ready","White","1","Means literally “the Heaven the Earth.” It is, in the Orient, interpreted as the creation of the world or the beginning of human history."
"Chon-Ji","19 L","Parallel Ready","White","2","Therefore it is the initial pattern played by the beginner."
"Chon-Ji","19 L","Parallel Ready","White","3","This pattern consists of two similar parts, one to represent the Heaven and the other, the Earth."
"Song Song","30 R","Parallel ready","White / Yellow","1","Means imagination."
"Song Song","30 R","Parallel ready","White / Yellow","2","In the initial stage of philosophical development, students must use their imagination to develop goals beyond their current limitations and from this visualize their achievements in advance."
"Song Song","30 R","Parallel ready","White / Yellow","3","This, in turn, strengthens their belief system to the point that specific goals are possible and obtainable."
"Dan Gun","21 L","Parallel ready","Yellow","1","Is named after the holy Dan Gun, the legendary founder of Korea in the year 2333 BC."
"Do San","24 R","Parallel Ready","Yellow","1","Is the pseudonym of the patriot Ahn Chang Ho, 1876-1938."
"Do San","24 R","Parallel Ready","Yellow","2","The 24 movements represent his entire life, which he devoted to furthering the education of Korea and its independence movement."
"Won Hyo","28 R","Closed A","Green","1","Was the noted monk who introduced Buddhism to the Silla Dynasty in the year 686 A.D."
"Yul Gok","38 L","Parallel ready","Green","1","Is the pseudonym of a great philosopher and scholar Yi-I, 1536-1584, nicknamed the “Confucius of Korea.” The 38 movements of this pattern refer to his birthplace on the 38th latitude and the diagram represents scholar."
"Yon Gham","40 L","Parallel ready","Green / Blue","1","Means inspiration."
"Yon Gham","40 L","Parallel ready","Green / Blue","2","With goals firmly in mind, the students must learn to inspire themselves to action as they develop a sense of self-worth."
"Yon Gham","40 L","Parallel ready","Green / Blue","3","Without this, one may never strive for success as they may feel that they do not deserve the rewards that accompany achievement."
"Toi Gye","37 R","Closed “B”","Blue","1","Is the pen name of the noted scholar Yi Hwang, 16th century, an authority on neo-Confucianism."
"Toi Gye","37 R","Closed “B”","Blue","2","The 37 movements of the pattern refer to his birthplace on the 37th degree latitude and the diagram represents “scholar.”"
"Joong Gun","32 L","Closed “B”","Blue","1","Is named after the patriot Ahn Joong Gun, who assassinated Hiro-Bumi Ito, the first Japanese governor-general of Korea, known as the man who played the leading part in the Korea-Japan merger."
"Joong Gun","32 L","Closed “B”","Blue","2","There are 32 movements in this pattern to represent Mr. Ahn’s age when he was executed at Lui-Shung prison, 1910."
